Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Cholesteatoma	3	0.75	14.17819149	5.52e-4	0.3396	0.0113	hsa-let-7a-3,hsa-let-7a-2,hsa-let-7a-1
Disease	Choriocarcinoma	13	0.21666667	4.09592199	7.32e-6	4.50e-3	4.64e-4	hsa-let-7a-2,hsa-mir-103a-2,hsa-let-7a-3,hsa-mir-191,hsa-mir-103a-1,hsa-mir-135a-1,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-449a,hsa-mir-196a-1,hsa-mir-135a-2,hsa-let-7a-1
Disease	Chronic Hepatitis C	8	0.22222222	4.20094563	4.04e-4	0.2482	9.08e-3	hsa-let-7a-2,hsa-mir-149,hsa-mir-30a,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-1-2,hsa-let-7a-1
Disease	Chronic Kidney Disease	5	0.15625	2.95378989	0.0241	1	0.171	hsa-let-7a-2,hsa-mir-29c,hsa-let-7a-3,hsa-mir-29b-2,hsa-let-7a-1
Disease	Colon Neoplasms	11	0.14285714	2.7006079	1.83e-3	1	0.0274	hsa-let-7a-2,hsa-let-7b,hsa-mir-101-2,hsa-mir-615,hsa-let-7e,hsa-let-7a-3,hsa-mir-191,hsa-mir-29b-2,hsa-mir-101-1,hsa-mir-449a,hsa-let-7a-1
Disease	Cutaneous Melanoma	6	0.31578947	5.96976484	2.90e-4	0.1782	6.87e-3	hsa-let-7a-2,hsa-let-7b,hsa-mir-149,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-182
Disease	Dengue Virus Infection	3	0.2	3.78085106	0.041	1	0.255	hsa-let-7a-2,hsa-let-7a-1,hsa-let-7a-3
Disease	Diabetes Mellitus	14	0.18918919	3.57648074	1.69e-5	0.0104	9.41e-4	hsa-let-7a-2,hsa-mir-342,hsa-mir-29c,hsa-mir-103a-2,hsa-mir-149,hsa-let-7a-3,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-1
Disease	Diabetes Mellitus, Gestational	3	0.13043478	2.46577243	0.1181	1	0.5511	hsa-let-7a-2,hsa-let-7a-3,hsa-let-7a-1
Disease	Diabetes Mellitus, Type 2	21	0.14285714	2.7006079	1.17e-5	7.19e-3	6.70e-4	hsa-mir-33b,hsa-mir-96,hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-196a-2,hsa-mir-182,hsa-mir-29c,hsa-mir-101-2,hsa-mir-196a-1,hsa-let-7e,hsa-mir-191,hsa-let-7a-1
Disease	Epstein-Barr Virus Infection	6	0.33333333	6.30141844	2.07e-4	0.1273	5.33e-3	hsa-let-7a-2,hsa-let-7a-1,hsa-mir-10a,hsa-mir-96,hsa-mir-10b,hsa-mir-182
Disease	Ewing's Sarcoma	4	0.33333333	6.30141844	2.62e-3	1	0.0358	hsa-let-7a-2,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-29b-2
Disease	Glioblastoma	23	0.13609467	2.57276848	9.46e-6	5.82e-3	5.61e-4	hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-449a,hsa-mir-1-2,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-182,hsa-mir-125a,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-425,hsa-mir-153-2,hsa-mir-149,hsa-mir-191,hsa-let-7a-1
Disease	Head And Neck Neoplasms	9	0.25	4.72606383	6.36e-5	0.0391	2.57e-3	hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-let-7e,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-499a,hsa-mir-1-2,hsa-let-7a-1
Disease	Heart Failure	19	0.15833333	2.99317376	7.10e-6	4.37e-3	4.67e-4	hsa-mir-499a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-10b,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-135a-1,hsa-mir-425,hsa-mir-342,hsa-let-7e,hsa-let-7a-1
Disease	Hemoglobin Diseases	4	0.30769231	5.81669394	3.63e-3	1	0.0417	hsa-let-7a-2,hsa-let-7b,hsa-let-7e,hsa-let-7a-1
Disease	Hepatitis B Virus Infection	15	0.2238806	4.23229597	8.42e-7	5.18e-4	8.80e-5	hsa-mir-125a,hsa-mir-425,hsa-let-7a-2,hsa-mir-34b,hsa-mir-29c,hsa-mir-149,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-191,hsa-mir-30a,hsa-mir-34c,hsa-mir-1275,hsa-mir-196a-2,hsa-mir-499a,hsa-let-7a-1
Disease	Hepatitis C Virus Infection	10	0.11494253	2.17290291	0.0142	1	0.1201	hsa-mir-96,hsa-mir-449a,hsa-let-7a-2,hsa-let-7b,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-182,hsa-mir-125a,hsa-let-7e,hsa-let-7a-1
Disease	Hirschsprung's Disease	5	0.22727273	4.29642166	4.78e-3	1	0.0531	hsa-let-7a-2,hsa-mir-34b,hsa-let-7a-3,hsa-mir-34c,hsa-let-7a-1
Disease	Human Immunodeficiency Virus Infection	9	0.19148936	3.61996378	5.66e-4	0.3479	0.011	hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-let-7e,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-196a-2,hsa-mir-196a-1,hsa-let-7a-1
Disease	Human Papilloma Virus Infection	9	0.26470588	5.00406758	3.87e-5	0.0238	1.72e-3	hsa-let-7a-2,hsa-mir-3156-2,hsa-mir-3156-3,hsa-mir-96,hsa-mir-3156-1,hsa-let-7a-3,hsa-mir-196a-2,hsa-mir-196a-1,hsa-let-7a-1
Disease	Kaposi's Sarcoma	6	0.22222222	4.20094563	2.24e-3	1	0.0326	hsa-let-7a-2,hsa-let-7b,hsa-mir-149,hsa-let-7e,hsa-let-7a-3,hsa-let-7a-1
Disease	Leukemia, Myeloid, Chronic	4	0.05970149	1.12861226	0.4781	1	1	hsa-let-7a-2,hsa-let-7b,hsa-let-7e,hsa-let-7a-1
Disease	Liver Cirrhosis	8	0.14035088	2.65322882	8.77e-3	1	0.0799	hsa-let-7a-2,hsa-mir-29c,hsa-mir-101-2,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-101-1,hsa-mir-10b,hsa-let-7a-1
Disease	Liver Diseases [unspecific]	8	0.27586207	5.21496698	7.79e-5	0.0479	2.88e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-103a-2,hsa-let-7e,hsa-let-7a-3,hsa-mir-103a-1,hsa-let-7a-1
Disease	Liver Injury	4	0.26666667	5.04113475	6.39e-3	1	0.0684	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-1,hsa-mir-182
Disease	Lung Neoplasms	22	0.2	3.78085106	1.36e-8	8.35e-6	2.68e-6	hsa-mir-103a-2,hsa-mir-499a,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-196a-1,hsa-let-7e,hsa-mir-34c,hsa-mir-191,hsa-let-7a-1
Disease	Lymphoma, Hodgkin	5	0.22727273	4.29642166	4.78e-3	1	0.0531	hsa-let-7a-2,hsa-mir-96,hsa-let-7a-3,hsa-mir-196a-1,hsa-let-7a-1
Disease	Lymphoma, Primary Effusion	5	0.38461538	7.27086743	3.42e-4	0.2104	8.00e-3	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Disease	Macular Degeneration	5	0.35714286	6.75151976	5.10e-4	0.3137	0.0111	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7a-1,hsa-mir-184
Disease	Malignant Neoplasms [unspecific]	10	0.2	3.78085106	1.87e-4	0.1153	5.05e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-mir-149,hsa-let-7e,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-375,hsa-let-7a-1
Disease	Melanoma	22	0.16666667	3.15070922	4.44e-7	2.73e-4	5.64e-5	hsa-mir-33b,hsa-mir-101-1,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-101-2,hsa-mir-625,hsa-mir-196a-1,hsa-mir-342,hsa-let-7e,hsa-mir-34c,hsa-mir-191,hsa-let-7a-1
Disease	Multiple Sclerosis	6	0.12765957	2.41330919	0.0346	1	0.2258	hsa-let-7a-2,hsa-mir-96,hsa-let-7a-3,hsa-mir-30a,hsa-mir-499a,hsa-let-7a-1
Disease	Myasthenia Gravis	2	0.14285714	2.7006079	0.1669	1	0.7114	hsa-let-7a-2,hsa-let-7a-1
Disease	Myeloproliferative Neoplasms	5	0.55555556	10.50236407	3.97e-5	0.0244	1.68e-3	hsa-let-7a-2,hsa-mir-375,hsa-let-7a-1,hsa-mir-10a,hsa-let-7a-3
Disease	Neoplasms [unspecific]	28	0.13461538	2.5448036	9.05e-7	5.56e-4	8.93e-5	hsa-mir-96,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-30a,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-184,hsa-mir-196a-1,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-34c,hsa-let-7a-1
Disease	Osteosarcoma	22	0.12865497	2.43212642	3.92e-5	0.0241	1.70e-3	hsa-mir-33b,hsa-mir-101-1,hsa-mir-449a,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-mir-202,hsa-mir-664a,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-196a-1,hsa-mir-153-2,hsa-mir-34c,hsa-mir-191,hsa-let-7a-1
Disease	Ovarian Neoplasms	17	0.16037736	3.03181453	1.97e-5	0.0121	9.72e-4	hsa-mir-103a-2,hsa-mir-499a,hsa-mir-1-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-125a,hsa-mir-34b,hsa-mir-153-1,hsa-mir-153-2,hsa-let-7e,hsa-mir-34c,hsa-mir-191,hsa-let-7a-1
Disease	Pancreatic Neoplasms	12	0.1875	3.54454787	7.94e-5	0.0489	2.88e-3	hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-96,hsa-let-7e,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-191,hsa-mir-196a-2,hsa-mir-196a-1,hsa-let-7a-1
Disease	Pituitary Neoplasms	5	0.3125	5.90757979	1.02e-3	0.6287	0.0178	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7e,hsa-let-7a-1
Disease	Pleural Mesothelioma	7	0.21875	4.13530585	1.05e-3	0.6459	0.0174	hsa-mir-125a,hsa-let-7a-2,hsa-mir-34b,hsa-let-7a-3,hsa-mir-34c,hsa-mir-191,hsa-let-7a-1
Disease	Prostate Neoplasms	9	0.12	2.26851064	0.0152	1	0.1272	hsa-let-7a-2,hsa-mir-101-2,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-191,hsa-mir-34c,hsa-mir-101-1,hsa-mir-182,hsa-let-7a-1
Disease	Psoriasis	4	0.12121212	2.29142489	0.0929	1	0.5095	hsa-let-7a-2,hsa-mir-33b,hsa-let-7a-3,hsa-let-7a-1
Disease	Retinoblastoma	10	0.22222222	4.20094563	7.26e-5	0.0447	2.75e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-101-2,hsa-let-7e,hsa-let-7a-3,hsa-mir-34c,hsa-mir-101-1,hsa-let-7a-1
Disease	Salivary Gland Neoplasms	4	0.44444444	8.40189125	7.55e-4	0.4641	0.014	hsa-let-7a-2,hsa-mir-375,hsa-let-7a-1,hsa-let-7a-3
Disease	Spinal Cord Injuries	4	0.30769231	5.81669394	3.63e-3	1	0.0417	hsa-let-7a-2,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-29b-2
Disease	Squamous Cell Carcinoma, Esophageal	21	0.14788732	2.79569973	6.62e-6	4.07e-3	4.71e-4	hsa-mir-33b,hsa-mir-101-1,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-mir-202,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-449b,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-196a-1,hsa-let-7e,hsa-mir-34c,hsa-let-7a-1
Disease	Squamous Cell Carcinoma, Head and Neck	12	0.25	4.72606383	3.42e-6	2.10e-3	2.64e-4	hsa-let-7a-2,hsa-mir-29c,hsa-let-7a-3,hsa-mir-30a,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-182,hsa-mir-196a-1,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-1,hsa-mir-372
Disease	Squamous Cell Carcinoma, Oral	12	0.14457831	2.73314535	1.01e-3	0.6202	0.0179	hsa-mir-125a,hsa-let-7a-2,hsa-mir-338,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1275,hsa-mir-184,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-196a-1,hsa-let-7a-1,hsa-mir-375
Disease	Vascular Hypertrophy	6	0.28571429	5.40121581	5.32e-4	0.3269	0.011	hsa-let-7a-2,hsa-let-7b,hsa-mir-1-1,hsa-let-7a-3,hsa-mir-1-2,hsa-let-7a-1
Disease	Lung Injury [unspecific]	2	0.28571429	5.40121581	0.0489	1	0.2974	hsa-let-7a-2,hsa-let-7b
Disease	Atypical Teratoid Tumor	2	1	18.90425532	2.77e-3	1	0.0365	hsa-let-7a-3,hsa-let-7b
Disease	Leukemia, Myeloid, Acute	15	0.12605042	2.38288933	1.02e-3	0.6284	0.018	hsa-mir-96,hsa-mir-135a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-10a,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-135a-1,hsa-mir-625,hsa-mir-149,hsa-mir-34c,hsa-mir-191
Disease	Rhabdomyosarcoma	4	0.22222222	4.20094563	0.0127	1	0.1099	hsa-mir-1-1,hsa-let-7b,hsa-mir-1-2,hsa-let-7a-3
Disease	Adenocarcinoma, Lung	11	0.10891089	2.05887929	0.0151	1	0.1268	hsa-mir-33b,hsa-mir-101-1,hsa-mir-375,hsa-let-7b,hsa-mir-202,hsa-mir-449b,hsa-mir-182,hsa-mir-34b,hsa-mir-342,hsa-mir-149,hsa-mir-34c
Disease	Atherosclerosis	11	0.11578947	2.18891377	9.65e-3	1	0.0875	hsa-mir-33b,hsa-mir-103a-2,hsa-mir-499a,hsa-let-7b,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-182,hsa-mir-29c
Disease	Atopic Dermatitis	1	0.11111111	2.10047281	0.3875	1	1	hsa-let-7b
Disease	Carcinoma, Adenoid Cystic	1	0.14285714	2.7006079	0.3169	1	1	hsa-let-7b
Disease	Carcinoma, Adrenocortical	2	0.06666667	1.26028369	0.4775	1	1	hsa-let-7b,hsa-mir-375
Disease	Carcinoma, Lung. Non-Small-Cell	29	0.13242009	2.50330322	7.70e-7	4.74e-4	8.55e-5	hsa-mir-489,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7b,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-30a,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-184,hsa-mir-196a-1,hsa-mir-342,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-34c
Disease	Carcinoma, Urothelial, Upper Tract	11	0.35483871	6.70796156	1.79e-7	1.10e-4	2.64e-5	hsa-let-7b,hsa-mir-96,hsa-mir-33b,hsa-mir-489,hsa-mir-664a,hsa-mir-191,hsa-mir-135a-1,hsa-mir-10a,hsa-mir-182,hsa-mir-135a-2,hsa-mir-4784
Disease	Cerebral Cavernous Malformations	1	0.2	3.78085106	0.2382	1	0.9344	hsa-let-7b
Disease	Chronic Inflammation	3	0.21428571	4.05091185	0.0341	1	0.2262	hsa-let-7b,hsa-mir-338,hsa-let-7e
Disease	Crohn Disease	7	0.21212121	4.00999355	1.28e-3	0.7848	0.0206	hsa-let-7b,hsa-mir-29c,hsa-mir-149,hsa-let-7e,hsa-mir-29b-2,hsa-mir-196a-2,hsa-mir-196a-1
Disease	Endometriosis	10	0.24390244	4.61079398	3.05e-5	0.0187	1.39e-3	hsa-mir-125a,hsa-let-7b,hsa-mir-29c,hsa-mir-202,hsa-mir-34c,hsa-mir-191,hsa-mir-1-1,hsa-mir-449b,hsa-mir-10b,hsa-mir-1-2
Disease	Glioma	24	0.11538462	2.18126023	1.02e-4	0.0627	3.29e-3	hsa-mir-96,hsa-mir-101-1,hsa-mir-449a,hsa-mir-135a-2,hsa-let-7b,hsa-mir-338,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-184,hsa-mir-196a-1,hsa-mir-425,hsa-mir-342,hsa-mir-153-2,hsa-mir-149
Disease	Hypertension	7	0.17948718	3.39307147	3.54e-3	1	0.0408	hsa-mir-425,hsa-let-7b,hsa-mir-30a,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-499a,hsa-mir-1-2
Disease	Influenza	4	0.15384615	2.90834697	0.0449	1	0.2777	hsa-let-7b,hsa-mir-29c,hsa-mir-30a,hsa-mir-449b
Disease	Leukemia, Lymphoblastic, Acute	3	0.125	2.36303191	0.1301	1	0.5912	hsa-let-7b,hsa-mir-149,hsa-mir-196a-2
Disease	Leukemia, Lymphoblastic, Acute, Childhood	3	0.25	4.72606383	0.0223	1	0.1615	hsa-mir-34c,hsa-let-7b,hsa-mir-34b
Disease	Multiple Myeloma	9	0.15	2.8356383	3.46e-3	1	0.0401	hsa-mir-125a,hsa-let-7b,hsa-mir-342,hsa-mir-33b,hsa-mir-96,hsa-mir-202,hsa-mir-149,hsa-mir-29b-2,hsa-mir-182
Disease	Neuroblastoma	8	0.13559322	2.56328886	0.0108	1	0.0949	hsa-let-7b,hsa-mir-338,hsa-mir-153-2,hsa-mir-153-1,hsa-mir-30a,hsa-mir-10a,hsa-mir-10b,hsa-mir-375
Disease	Neurodegenerative Diseases [unspecific]	5	0.26315789	4.97480403	2.40e-3	1	0.0346	hsa-let-7b,hsa-mir-338,hsa-mir-34b,hsa-mir-342,hsa-mir-34c
Disease	Preeclampsia	11	0.14864865	2.81009201	1.31e-3	0.8063	0.021	hsa-let-7b,hsa-mir-34b,hsa-mir-342,hsa-mir-202,hsa-mir-101-2,hsa-mir-149,hsa-mir-29b-2,hsa-mir-191,hsa-mir-34c,hsa-mir-101-1,hsa-mir-182
Disease	Primary Biliary Cirrhosis	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-let-7b
Disease	Stroke	4	0.10810811	2.04370328	0.1281	1	0.5943	hsa-let-7b,hsa-mir-103a-2,hsa-mir-29b-2,hsa-mir-103a-1
Disease	Stroke, Ischemic	8	0.23529412	4.44806008	2.64e-4	0.1626	6.35e-3	hsa-let-7b,hsa-mir-618,hsa-mir-149,hsa-let-7e,hsa-mir-30a,hsa-mir-196a-2,hsa-mir-499a,hsa-mir-196a-1
Disease	Acute Coronary Syndrome	3	0.13636364	2.577853	0.1066	1	0.515	hsa-mir-125a,hsa-let-7e,hsa-mir-499a
Disease	Allergic Rhinitis	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-499a,hsa-mir-149,hsa-let-7e,hsa-mir-196a-2
Disease	Cystic Fibrosis	2	0.125	2.36303191	0.206	1	0.8207	hsa-mir-125a,hsa-let-7e
Disease	Ischemic Diseases [unspecific]	1	0.07692308	1.45417349	0.5079	1	1	hsa-let-7e
Disease	Muscular Dystrophy	5	0.17241379	3.25935437	0.0161	1	0.1248	hsa-mir-29c,hsa-let-7e,hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2
Disease	Synovial Sarcoma	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-125a,hsa-let-7e
Disease	Systemic Lupus Erythematosus	8	0.14545455	2.74970986	7.05e-3	1	0.0729	hsa-mir-34b,hsa-mir-342,hsa-mir-29c,hsa-let-7e,hsa-mir-34c,hsa-mir-10a,hsa-mir-196a-2,hsa-mir-196a-1
Disease	Acute Myocardial Infarction	4	0.08695652	1.64384829	0.2232	1	0.8832	hsa-mir-191,hsa-mir-1-1,hsa-mir-499a,hsa-mir-1-2
Disease	Aortic Aneurysm	3	0.27272727	5.155706	0.0174	1	0.1335	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-29b-2
Disease	Aortic Stenosis	3	0.12	2.26851064	0.1424	1	0.6425	hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2
Disease	Aplastic Anemia	2	0.2	3.78085106	0.0945	1	0.5166	hsa-mir-1-1,hsa-mir-1-2
Disease	Arrhythmia	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-1-1,hsa-mir-1-2
Disease	Arteriosclerosis Obliterans	2	0.11111111	2.10047281	0.2459	1	0.9437	hsa-mir-1-1,hsa-mir-1-2
Disease	Atrial Fibrillation	8	0.13333333	2.52056738	0.0119	1	0.1037	hsa-mir-29c,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-1-2
Disease	Bladder Neoplasms	7	0.18918919	3.57648074	2.58e-3	1	0.0356	hsa-mir-34b,hsa-mir-101-2,hsa-mir-149,hsa-mir-34c,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-1-2
Disease	Bladder Outlet Obstruction	5	0.35714286	6.75151976	5.10e-4	0.3137	0.0111	hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-29c,hsa-mir-29b-2
Disease	Carcinoma, Bladder	20	0.16666667	3.15070922	1.66e-6	1.02e-3	1.48e-4	hsa-mir-96,hsa-mir-489,hsa-mir-101-1,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-935,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-196a-1,hsa-mir-34c
Disease	Carcinoma, Renal Cell, Clear-Cell	6	0.10344828	1.95561262	0.082	1	0.4524	hsa-mir-425,hsa-mir-101-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-10b
Disease	Cardiomegaly	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Disease	Cardiomyopathy, Hypertrophic	10	0.18181818	3.43713733	4.28e-4	0.263	9.50e-3	hsa-mir-34b,hsa-mir-29c,hsa-mir-96,hsa-mir-489,hsa-mir-30a,hsa-mir-1-1,hsa-mir-184,hsa-mir-10a,hsa-mir-10b,hsa-mir-1-2
Disease	Cerebral Aneurysm	4	0.2	3.78085106	0.0185	1	0.14	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-29c,hsa-mir-29b-2
Disease	Cholangiocarcinoma	4	0.11428571	2.16048632	0.1099	1	0.5276	hsa-mir-96,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-1-2
Disease	Chordoma	3	0.21428571	4.05091185	0.0341	1	0.2262	hsa-mir-1-1,hsa-mir-149,hsa-mir-1-2
Disease	Chronic Atrial Fibrillation	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-1-2,hsa-mir-1-1
Disease	Chronic Obstructive Pulmonary Disease	6	0.21428571	4.05091185	2.73e-3	1	0.0365	hsa-mir-34b,hsa-mir-149,hsa-mir-34c,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-1-2
Disease	Congenital Heart Diseases	7	0.31818182	6.01499033	8.24e-5	0.0507	2.93e-3	hsa-mir-96,hsa-mir-1-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-499a,hsa-mir-1-2
Disease	Coronary Heart Diseases	4	0.07142857	1.35030395	0.3437	1	1	hsa-mir-149,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-1-2
Disease	Distal Myopathy	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Disease	Essential Hypertension	3	0.15789474	2.98488242	0.0751	1	0.421	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-499a
Disease	Heart Diseases [unspecific]	4	0.10526316	1.98992161	0.1377	1	0.6225	hsa-mir-1-1,hsa-mir-184,hsa-mir-499a,hsa-mir-1-2
Disease	Intrahepatic Cholangiocarcinoma	7	0.31818182	6.01499033	8.24e-5	0.0507	2.93e-3	hsa-mir-338,hsa-mir-96,hsa-mir-101-2,hsa-mir-1-1,hsa-mir-1275,hsa-mir-101-1,hsa-mir-1-2
Disease	Lofgren's Syndrome	3	0.25	4.72606383	0.0223	1	0.1615	hsa-mir-425,hsa-mir-1-1,hsa-mir-1-2
Disease	Long QT Syndrome	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-1-2,hsa-mir-1-1
Disease	Muscular Dystrophy, Duchenne	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-1-1,hsa-mir-1-2
Disease	Muscular Dystrophy, Facioscapulohumeral	3	0.16666667	3.15070922	0.0657	1	0.3717	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-625
Disease	Musculoskeletal Abnormalities [unspecific]	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Disease	Myelodysplastic Syndromes	3	0.10714286	2.02545593	0.1816	1	0.763	hsa-mir-125a,hsa-mir-1-1,hsa-mir-1-2
